"Titre court";"Titre complet";"Numéro de l'amendement";"Partie de l'amendement";"Sort de l'amendement";"Désignation de l'article";"Délibération";"Auteur";"Cosignataire(s)";"Instance";"Etape du texte";"URL Dossier législatif";"URL Texte référence";"URL Amendement";"URL Amendement format XML"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 30 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF30";"";"Non renseigné";"Article 3";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_3";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF30";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000030.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 20 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF20";"";"Non renseigné";"Après l'article 2";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_2";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF20";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000020.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 27 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF27";"";"Non renseigné";"Article PREMIER";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF27";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000027.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 29 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF29";"";"Non renseigné";"Article 3";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_3";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF29";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000029.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 9 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF9";"";"Non renseigné";"Après l'article PREMIER";"Première délibération";"Cinieri Dino";"  M. Kamardine, M. Brigand, Mme Anthoine, M. Fabrice Brun, Mme Corneloup, M. Cordier, M. Descoeur, M. Hetzel, Mme Alexandra Martin, M. Neuder, Mme Valentin, M. Jean-Pierre Vigier et M. Viry";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF9";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000009.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 182 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF182";"";"Non renseigné";"Après l'article 3";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_3";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF182";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000182.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 235 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF235";"";"Non renseigné";"Après l'article 3";"Première délibération";"Tanguy Jean-Philippe";"  M. Allisio, M. Grenon, M. Lottiaux, M. Schreck, M. Sabatou, M. Mauvieux, M. Dessigny, M. Cabrolier, M. Bryan Masson et M. Salmon";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_3";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF235";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000235.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 23 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF23";"";"Non renseigné";"Après l'article 2";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_2";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF23";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000023.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 22 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF22";"";"Non renseigné";"Après l'article 2";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_2";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF22";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000022.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 226 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF226";"";"Non renseigné";"Avant l'article 9";"Première délibération";"Lefèvre Mathieu";"  M. Abad, Mme Abadie, M. Damien Adam, Mme Agresti-Roubache, M. Alauzet, M. Amiel, M. Anglade, M. Ardouin, M. Armand, M. Attal, M. Bataillon, M. Batut, M. Beaune, M. Becht, M. Belhaddad, M. Belhamiti, M. Berville, M. Bordat, Mme Borne, M. Bothorel, M. Boudié, M. Bouyx, Mme Pascale Boyer, Mme Bregeon, M. Brosse, Mme Brugnera, Mme Brulebois, M. Buchou, Mme Buffet, Mme Calvez, Mme Caroit, M. Causse, M. Cazenave, M. Pierre Cazeneuve, Mme Chandler, M. Chenevard, Mme Clapot, Mme Colboc, M. Cormier-Bouligeon, Mme Couillard, Mme Cristol, M. Da Silva, M. Darmanin, Mme Decodts, Mme Delpech, M. Descrozaille, M. Dirx, Mme Dubré-Chirat, M. Dunoyer, Mme Dupont, M. Dussopt, Mme Errante, M. Fait, Mme Dominique Faure, M. Ferracci, M. Fiévet, M. Fugit, M. Gassilloud, Mme Genetet, M. Ghomi, M. Éric Girardin, M. Giraud, Mme Givernet, M. Gouffier-Cha, Mme Grandjean, M. Grelier, Mme Grégoire, M. Guerini, Mme Guévenoux, M. Raphaël Gérard, M. Haddad, Mme Hai, M. Haury, M. Henriet, M. Holroyd, M. Houlié, Mme Iborra, M. Izard, M. Jacques, Mme Janvier, M. Kasbarian, Mme Khattabi, Mme Klinkert, M. Labaronne, M. Lacresse, Mme Lakrafi, M. Lauzzana, M. Lavergne, Mme Le Feur, M. Le Gac, M. Le Gendre, Mme Le Grip, Mme Le Meur, Mme Le Nabour, Mme Le Peih, M. Le Vigoureux, Mme Lebec, M. Lescure, Mme Liso, M. Lovisolo, M. Maillard, Mme Maillart-Méhaignerie, Mme Jacqueline Maquet, M. Marchive, M. Margueritte, M. Marion, Mme Marsaud, M. Didier Martin, M. Masséglia, M. Mazars, Mme Melchior, M. Mendes, M. Metzdorf, Mme Meynier-Millefert, M. Midy, Mme Mirallès, M. Mournet, Mme Métayer, M. Olive, M. Pacquot, Mme Panonacle, Mme Panosyan-Bouvet, M. Didier Paris, Mme Parmentier-Lecocq, M. Pellerin, M. Perrot, Mme Petel, Mme Peyron, Mme Piron, Mme Pitollat, Mme Pompili, M. Pont, M. Poulliat, Mme Pouzyreff, M. Rebeyrotte, M. Reda, M. Riester, Mme Rilhac, Mme Riotton, Mme Rist, Mme Rixain, M. Rodwell, M. Roseren, M. Rousset, M. Royer-Perreaut, M. Rudigoz, Mme Saint-Paul, M. Seo, M. Sitzenstuhl, M. Sorre, Mme Spillebout, M. Studer, Mme Liliana Tanguy, Mme Tanzilli, M. Terlier, Mme Thevenot, Mme Tiegna, M. Travert, M. Valence, Mme Vidal, M. Vignal, Mme Vignon, M. Vojetta, M. Vuibert, M. Vuilletet, M. Véran, M. Woerth, M. Zulesi et Mme Bergé";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_9";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF226";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000226.xml"
